"loc1","loc2","Common name"
"51.4865210362","-2.65007812232","Maple"
"51.4897206273","-2.53577911532","Cherry"
"51.4893216318","-2.53608280306","Sorbus"
"51.4394690673","-2.59983594018","Rowan"
"51.4570591305","-2.58258881491","Pear"
"51.4037246604","-2.5680497721","Silver Birch"
"51.4719612539","-2.61920494074","Lime"
"51.4913611595","-2.67706394904",""
"51.4839696847","-2.63386829956","Ash"
"51.4523717506","-2.57438118844","Lime"
"51.4055560454","-2.63009571521","Poplar"
"51.4054887417","-2.63013763222","Poplar"
"51.4084381566","-2.57672752729","Lime"
"51.4610060511","-2.58597087826","Hawthorn"
"51.459082582","-2.55281861041","Plum"
"51.460815544","-2.56954922712","Lime"
"51.4836673745","-2.6503199369","Cherry"
"51.4344668053","-2.57181739897","Tulip Tree"
"51.4160583674","-2.57421652268","Silver Birch"
"51.4570580427","-2.58175790481","Plane"
"51.507777053","-2.6273374133","Lime"
"51.4353275883","-2.57245969477","Field Maple"
"51.4353429179","-2.57272674616","Field Maple"
"51.435065324","-2.57208684189","Tulip Tree"
"51.47875591","-2.57402107371","Maple"
"51.4890288171","-2.5336301649","Sycamore"
"51.4719838614","-2.6065750289","Rowan"
"51.4594828857","-2.55777252563","Rowan"
"51.4978128239","-2.61804849582","Hawthorn"
"51.5087935816","-2.61646471494","Beech"
"51.4960302321","-2.62272331799","Ash"
"51.4251571081","-2.6268389864","Cherry"
"51.4913900634","-2.67551367877","Catalpa"
"51.4256711512","-2.62610127275","Maple"
"51.4264957741","-2.62524351286","Silver Birch"
"51.4645736193","-2.53883173064","Birch"
"51.4626001268","-2.57174373089","Maple"
"51.4264194547","-2.62449785282","Cherry"
"51.4710516259","-2.54043172985","Hawthorn"
"51.4635146693","-2.57686259238","Sycamore"
"51.4582697811","-2.58180699636","Maple"
"51.4895683671","-2.5271590035","Tulip Tree"
"51.4900232797","-2.51550649231","Scots Pine"
"51.4277374741","-2.57831442456","Whitebeam"
"51.512394794","-2.63293685486","Hornbeam"
"51.4822315713","-2.53916619795","Cherry"
"51.4468495388","-2.58928538726","Pine"
"51.5053663486","-2.65101835613","Cabbage Palm"
"51.4897657325","-2.51571747169","Alder"
"51.4730824266","-2.60127550095","Sycamore"
"51.4739257294","-2.60414749851","Plane"
"51.4292524344","-2.55464777303",""
"51.4244622317","-2.6272586517","Cherry"
"51.4748485302","-2.60199950072","Pear"
"51.4761141977","-2.57140374876","Gingko"
"51.4909264762","-2.56480150354","Elder"
"51.5099507068","-2.60154174737","Ash"
"51.4702891772","-2.55020270318","Hornbeam"
"51.5005215496","-2.66637451472","Hawthorn"
"51.5025718741","-2.70116409474","Apple"
"51.4404954897","-2.5735190873","Sycamore"
"51.4881811992","-2.65118856417","Maple"
"51.4675199305","-2.62479642283","Lime"
"51.4647938856","-2.6270285902","Elm"
"51.4701358442","-2.55076348862","Sycamore"
"51.4876484161","-2.52813378558","Lime"
"51.4605969145","-2.54619067791","Oak"
"51.4760294471","-2.54977388548","Cypress"
"51.4708887979","-2.53937550348","Sorbus"
"51.460633405","-2.54459022384","Plane"
"51.4428272352","-2.58405408481","Rowan"
"51.4427846558","-2.56454199068","Lime"
"51.4428986139","-2.56518785003","Cherry"
"51.4608159193","-2.58587272233","Plum"
"51.4638047994","-2.51799902163","Hawthorn"
"51.4638194168","-2.51837388622","Sycamore"
"51.4626228812","-2.54604142004","Sycamore"
"51.4604776204","-2.54398138008","Plum"
"51.506481899","-2.64891608052","Maple"
"51.4951885752","-2.66560845467","Sumach"
"51.4246932286","-2.62599758021","Apple"
"51.5145094188","-2.61853248083","Lime"
"51.5090541874","-2.60781291876","Silver Birch"
"51.5091922226","-2.60865942572","Silver Birch"
"51.4243862959","-2.62624177157","Gingko"
"51.4676512046","-2.62738952479","Ash"
"51.4609986983","-2.56791965674","Cherry"
"51.4759012584","-2.58033909518","Holly"
"51.5122292274","-2.61154247029","Willow"
"51.5133341901","-2.61126848497","Beech"
"51.4940941497","-2.60943054474","Lime"
"51.5003907799","-2.69807470072","Maple"
"51.4132191853","-2.57261089156","Ash"
"51.4990392674","-2.60423299258","Pear"
"51.4109222446","-2.57353230339","Ash"
"51.4937738525","-2.61033259509","Hawthorn"
"51.4828291163","-2.51968352749","Lime"
"51.496141402","-2.67161819696","Magnolia"
"51.4543457273","-2.61474863024","Lime"
"51.5116079755","-2.60956141961","Sycamore"
"51.4734218158","-2.55141556449","Cherry"
"51.4081386138","-2.54406328671","Field Maple"
"51.4540725717","-2.56074194164","Oak"
"51.4263709989","-2.52905260558","Poplar"
"51.4131204269","-2.5449217738","Cherry"
"51.5006063655","-2.59004745458","Hawthorn"
"51.4614533664","-2.54134546824","Spruce"
"51.4974460943","-2.66700137947","Cherry"
"51.4884467632","-2.68277509075","Maple"
"51.5121379784","-2.60924225007","Lime"
"51.5069348288","-2.62867736276","Yew"
"51.4957148055","-2.68187435552","Cherry"
"51.4874672542","-2.56371428379","Poplar"
"51.5068769765","-2.64982755931","Aspen"
"51.4963467812","-2.67150640691","Elder"
"51.4961264888","-2.67128622698","Cherry"
"51.4503791112","-2.52875973114","Poplar"
"51.4509395861","-2.53333746112","Poplar"
"51.4759127515","-2.55431455658","Lime"
"51.4076013621","-2.62856160115","Eucalyptus"
"51.4614586268","-2.54102410891","Hawthorn"
"51.4880782741","-2.59100027229","Lime"
"51.477445456","-2.5305913234","Oak"
"51.4700019774","-2.54745837422","Ash"
"51.4311172263","-2.59975111477","Sweet Chestnut"
"51.4946992604","-2.60884658562","Whitebeam"
"51.4970717375","-2.69119405741","Lime"
"51.4680803401","-2.59863235688","Oak"
"51.453294963","-2.60747148604","Lime"
"51.4948983246","-2.63578249494","Sweet Chestnut"
"51.4538788159","-2.60819479965","Cypress"
"51.483879247","-2.62252187033","Walnut"
"51.5074345906","-2.65215140644","Field Maple"
"51.4782114233","-2.5627933221","Sycamore"
"51.4821479261","-2.61777715619","Hawthorn"
"51.4878210836","-2.56488884999","Cypress"
"51.4725933671","-2.5563929251","Sycamore"
"51.4718359538","-2.55564540677","Silver Birch"
"51.4818446668","-2.6165250992","Lime"
"51.504348007","-2.60982052074","Alder"
"51.4434464479","-2.61923115195","Silver Birch"
"51.5072384928","-2.64924958627","Hawthorn"
"51.5047126941","-2.641534294","Yew"
"51.4503972207","-2.62280446322","Oak"
"51.4503491145","-2.59033435354","Cherry"
"51.4395700505","-2.63054555943","Sycamore"
"51.4391734771","-2.63426868473","Sycamore"
"51.5079768957","-2.65322958755","Sweet Chestnut"
"51.4907151896","-2.67622473766","Sycamore"
"51.4710185126","-2.55553469168","Cypress"
"51.4713448963","-2.55416947647","Cypress"
"51.4626025777","-2.58385014541","Sycamore"
"51.4564043347","-2.61622692623","Sycamore"
"51.4743362913","-2.5820393849","Sycamore"
"51.4706500528","-2.57292172489","Field Maple"
"51.4414448377","-2.6238546761","Lime"
"51.4472055261","-2.56869989586","Oak"
"51.4427294477","-2.61846577658","Lime"
"51.4632509684","-2.60122626766","Silver Birch"
"51.4624255188","-2.58399729981","Apple"
"51.4259461546","-2.60350740568","Ash"
"51.4500636924","-2.59080369009","Sorbus"
"51.470073566","-2.55155946153","Cypress"
"51.4392735421","-2.63360610026",""
"51.496853427","-2.67006596966","Amelanchier"
"51.4352402656","-2.60741544207","Sycamore"
"51.4418268779","-2.63196322586","Lime"
"51.4415389907","-2.63315776702","Sycamore"
"51.471075747","-2.55773988559","Ash"
"51.4204208115","-2.59904672295","Ash"
"51.4664447254","-2.53163547463","Field Maple"
"51.4415083102","-2.63264513194","Sycamore"
"51.4417829147","-2.63371047623",""
"51.4991599558","-2.60607539677","Cherry"
"51.4056120159","-2.57014225186","Apple"
"51.5040426666","-2.65086189303","Hornbeam"
"51.4468257115","-2.54089568543","Ash"
"51.49245873","-2.62874547609","Silver Birch"
"51.4416115951","-2.57791750971","Birch"
"51.4675238929","-2.59894049055","Lime"
"51.4537959759","-2.60731565541","Sycamore"
"51.4540280785","-2.60644198451","Scots Pine"
"51.4896620041","-2.59442449106","Lime"
"51.4655344464","-2.55540083802","Field Maple"
"51.4594733483","-2.5653926407","Field Maple"
"51.4570509829","-2.56981582727","Ash"
"51.4323067891","-2.59944188351","Ash"
"51.4298025016","-2.59116174964","Apple"
"51.4929540217","-2.60826948793","Ash"
"51.4946886504","-2.62428565433","Yew"
"51.4948753806","-2.62538699905","Oak"
"51.4930708478","-2.6081432786","Ash"
"51.4064388224","-2.59383172545","Cherry"
"51.4318323915","-2.57821942181","Lime"
"51.4674559976","-2.59783254276","Pine"
"51.4546796973","-2.60814370507","Pine"
"51.4539411288","-2.60822930494","Redwood"
"51.4386593386","-2.64192985706","Oak"
"51.493409263","-2.65620692138","Cedar"
"51.4646360921","-2.55939077625","Alder"
"51.4467726736","-2.62133228933","Sycamore"
"51.4222493817","-2.57729735915","Maple"
"51.5049434588","-2.62981770799","Oak"
"51.5047308951","-2.63813300095","Lime"
"51.4933242309","-2.62287224638","Holly"
"51.4519794184","-2.60666840219","Lime"
"51.4560233694","-2.56355928776","Oak"
"51.4243537773","-2.62321710879","Horse Chestnut"
"51.4254560981","-2.62087432238","Sycamore"
"51.4256190097","-2.62031746612","Lime"
"51.4920843348","-2.62852469789","Juniper"
"51.492548015","-2.53280228242","Oak"
"51.4907142996","-2.53414057461","Oak"
"51.4919217323","-2.6273896019","Apple"
"51.4943439259","-2.6307843164","Birch"
"51.4943868722","-2.62960286956","Cypress"
"51.4053546181","-2.58263587225","Rowan"
"51.4825877673","-2.5471719237","Sycamore"
"51.4265334118","-2.62626077739","Silver Birch"
"51.4550525689","-2.59232719673","Plane"
"51.4447011149","-2.62178417856","Maple"
"51.4456188395","-2.62272590393","Oak"
"51.483297654","-2.57579947786","Whitebeam"
"51.4876215669","-2.55115484138","Sycamore"
"51.457269216","-2.54506845539","Cypress"
"51.5029874292","-2.65313905628","Elm"
"51.4569690468","-2.54862046365","Birch"
"51.4267239791","-2.55660045328","Field Maple"
"51.4790245534","-2.54902412043","Oak"
"51.4765795954","-2.55278555794","Maple"
"51.5034438532","-2.65100290805","Cherry"
"51.4852550115","-2.51891917075","Sweet Chestnut"
"51.4769242043","-2.55172506094","Sycamore"
"51.4880049888","-2.68344137925","Lime"
"51.457835438","-2.57263324918","Amelanchier"
"51.5076180923","-2.65171772983","Field Maple"
"51.5071033798","-2.65136789103","Field Maple"
"51.4722906158","-2.55743464857","Sycamore"
"51.4205936082","-2.60036890337","Beech"
"51.4673632247","-2.58074855154","Ash"
"51.4213397825","-2.60000936499","Oak"
"51.4956914829","-2.67421514522","Sycamore"
"51.4966747181","-2.66971200231","Lime"
"51.4393087049","-2.53906038628","Bristol Whitebeam"
"51.4408852548","-2.6336810702","Ash"
"51.5119081236","-2.62493249951","Alder"
"51.4063550137","-2.56941856314","Lime"
"51.4639757667","-2.60105427561","Sycamore"
"51.4131736995","-2.57636755811","Maple"
"51.4786605297","-2.59831012777","Lime"
"51.4762532807","-2.61646465926","Lime"
"51.5085561078","-2.62360752894","Ash"
"51.5106143461","-2.62472645557","Cherry"
"51.5124787791","-2.62500731888","Maple"
"51.4733892662","-2.62167524672","Lime"
"51.4440338193","-2.62022760487","Lime"
"51.4172890249","-2.58024651048","Ash"
"51.4413054579","-2.6223512582","Plane"
"51.4131989326","-2.57650231937","Maple"
"51.4430263419","-2.61826331498","Sycamore"
"51.4799331266","-2.61649355423","Horse Chestnut"
"51.4750313018","-2.62559898855","Lime"
"51.4794278019","-2.61770554246","Horse Chestnut"
"51.4204790542","-2.58183262474","Lime"
"51.4205440899","-2.58159198843","Lime"
"51.4457806093","-2.58645363034","Cypress"
"51.4758421282","-2.62207490776","Beech"
"51.439158675","-2.53703449153","Cypress"
"51.491741391","-2.60761540149","Sycamore"
"51.4071909059","-2.59967154749","Lime"
"51.4137377791","-2.54151233875","Cherry"
"51.4142871364","-2.54183100784","Hornbeam"
"51.4142363672","-2.54199864548","Apple"
"51.5077010752","-2.65194585271","Lime"
"51.478971351","-2.56237112076","Lime"
"51.4313212474","-2.54745646647","Gingko"
"51.4727106675","-2.55717744413","Scots Pine"
"51.4801634814","-2.61804942313","Lime"
"51.4132219807","-2.61245264265","Rowan"
"51.412946945","-2.61084686243","Field Maple"
"51.45484507","-2.56463166251","Beech"
"51.4936430613","-2.60894226999",""
"51.421533454","-2.59086359445","Silver Birch"
"51.4142182407","-2.60459700192","Poplar"
"51.4753071164","-2.55173347613","Maple"
"51.4514281116","-2.63604833741","Hawthorn"
"51.4487418187","-2.63593846965","Hawthorn"
"51.4522051661","-2.55564973224","Elder"
"51.4304526304","-2.58226646326","Sycamore"
"51.4406572476","-2.594874967","Sycamore"
"51.4432869011","-2.60163029318","Plane"
"51.4732711876","-2.55084589511","Scots Pine"
"51.4154976189","-2.5362957602","Maple"
"51.4744928173","-2.55488075623","Maple"
"51.4753984012","-2.55182471287","Maple"
"51.4474101452","-2.62025293318","Whitebeam"
"51.4354056916","-2.61881351519","Maple"
"51.4870369984","-2.53852741738","Cypress"
"51.4794347191","-2.53254211993","Horse Chestnut"
"51.4769614021","-2.5217055337","Hornbeam"
"51.4722597562","-2.51533135354","Cherry"
"51.471797129","-2.55643751294","Lime"
"51.4715865679","-2.55836146037","Silver Birch"
"51.4725021187","-2.51593561827","Sycamore"
"51.4683282683","-2.55455702974","Cypress"
"51.4974873447","-2.66728951722","Silver Birch"
"51.4696896376","-2.55479553984","Whitebeam"
"51.4696979293","-2.55218277261","Oak"
"51.4692544585","-2.55317539042","Oak"
"51.4687126074","-2.551060187","Cypress"
"51.461433909","-2.5188086107","Hornbeam"
"51.4119380935","-2.57449343355","Maple"
"51.4152934909","-2.57799224097","Sycamore"
"51.4147369012","-2.53859375449","Sycamore"
"51.4619972069","-2.58349997552","Alder"
"51.4398153805","-2.64483218496","Sycamore"
"51.4633458327","-2.59952302809","Scots Pine"
"51.481963141","-2.61067398301","Maple"
"51.4692133601","-2.55361485348","Oak"
"51.4566470094","-2.61626301065","Horse Chestnut"
"51.4609974466","-2.54125788185","Silver Birch"
"51.4412948118","-2.6211377847","Plane"
"51.4987082713","-2.58236330804","Apple"
"51.4661319718","-2.53168078351","Horse Chestnut"
"51.4642622643","-2.55550601745","Sycamore"
"51.4142499068","-2.54132614066","Ash"
"51.4631103113","-2.61289810187","Lime"
"51.4648670999","-2.56480650163","Hawthorn"
"51.4286218188","-2.53565662766","Scots Pine"
"51.4686926643","-2.55294645641","Cypress"
"51.4839549004","-2.5794206037","Maple"
"51.498696079","-2.66237500679","Cherry"
"51.4720154524","-2.63514043054","Lime"
"51.4374215132","-2.57725447071","Willow"
"51.5115774565","-2.62303204983","Sweetgum"
"51.4789744825","-2.60872580242","Lime"
"51.4970557572","-2.64630932647","Cherry"
"51.4956186115","-2.64773021123","Cherry"
"51.4968093293","-2.64731407052","Whitebeam"
"51.4451399606","-2.56371331583","Lime"
"51.4616566602","-2.60033200968","Birch"
"51.5048312457","-2.6558932727","Plum"
"51.5104430065","-2.60211755805","Lime"
"51.4392565644","-2.63170430478","Lime"
"51.4404957417","-2.61916303152","Alder"
"51.4886895313","-2.59003455207","Ash"
"51.4907062581","-2.66620988922","Lime"
"51.4977843123","-2.57349538447","Pear"
"51.490055488","-2.51556360415","Field Maple"
"51.4905329437","-2.58328706046","Lime"
"51.4720079053","-2.62087366978","Lime"
"51.4280840944","-2.5684488593","Lime"
"51.5089734626","-2.62690197969","Ash"
"51.4270882541","-2.57236718538","Lime"
"51.4355033878","-2.61960448579","Cherry"
"51.4407848371","-2.62562788555","Lime"
"51.4779291158","-2.56640898039","Ash"
"51.4591508397","-2.60184598627","Cherry"
"51.4568736869","-2.60898678314","Holly"
"51.505171609","-2.64296525889","Plane"
"51.5008724421","-2.66413291767","Poplar"
"51.5053693479","-2.64562993064","Plane"
"51.5016063984","-2.65991776543","Sycamore"
"51.4988075437","-2.64152064296","Apple"
"51.483829146","-2.59628587156","Plum"
"51.4873214316","-2.56144282409","Hornbeam"
"51.4767727864","-2.62229031106","Sycamore"
"51.4333363939","-2.59712349887","Rowan"
"51.5006725753","-2.66598471502","Hawthorn"
"51.4645347349","-2.6274508463","Elm"
"51.48738701","-2.52653945216","Hazel"
"51.4243560014","-2.60748680918","Alder"
"51.4921981611","-2.5919206799","Maple"
"51.448346824","-2.60749515545","Alder"
"51.4894164344","-2.5274333551","Juniper"
"51.4398186392","-2.54250511413","Hazel"
"51.4398533977","-2.5424941601","Scots Pine"
"51.4813283279","-2.6473571655","Horse Chestnut"
"51.4393060328","-2.54293065421","Cypress"
"51.4819816606","-2.60974178778","Hawthorn"
"51.4865060731","-2.51900610905","Cherry"
"51.4403042","-2.59853718686","Lime"
"51.4064049997","-2.61757431246","Plane"
"51.442548325","-2.58381729213","Ash"
"51.4292544526","-2.53791800719","Elm"
"51.4585362619","-2.59821021911","Alder"
"51.488909103","-2.62314000977","Scots Pine"
"51.4899999237","-2.51576721354","Field Maple"
"51.4851415945","-2.6498254798","Maple"
"51.4434438979","-2.56501372067",""
"51.4867104726","-2.63924001579","Cypress"
"51.4854575658","-2.63640031828","Sumach"
"51.4645755031","-2.57735518905","Lime"
"51.4647230199","-2.58395092081","Paper Mulberry"
"51.4903252232","-2.67854351956","Hawthorn"
"51.469196393","-2.58390626687","Lime"
"51.4250415626","-2.58026577208","Whitebeam"
"51.4214641611","-2.59674751623","Lime"
"51.4865944768","-2.59176772378","Beech"
"51.4257954666","-2.55301831014",""
"51.4630000045","-2.57815507504","Alder"
"51.4899930097","-2.58665468564","Lime"
"51.4620810417","-2.54856490316","Plum"
"51.4626735056","-2.57830352984","Plane"
"51.4770031365","-2.61589160855","Hawthorn"
"51.4606333413","-2.54792212377",""
"51.4613472856","-2.54539457575","Oak"
"51.4192926647","-2.62166801492","Apple"
"51.4715480592","-2.54363841385","Ash"
"51.5078597682","-2.62482968496","Ash"
"51.4202899813","-2.59871266105","Ash"
"51.4602438017","-2.55124429198","Elm"
"51.418912383","-2.59308670949","Ash"
"51.461877986","-2.54523666569","Oak"
"51.4049579042","-2.57030131194","Alder"
"51.4662298666","-2.62235211188","Oak"
"51.5119945584","-2.6251806723","Oak"
"51.4557583162","-2.56260065625","Beech"
"51.4781145598","-2.61857840108","Horse Chestnut"
"51.4779353232","-2.6159380074","Hawthorn"
"51.4456726239","-2.58691975226","Cypress"
"51.4433508113","-2.61402956306","Hazel"
"51.4388719014","-2.5374920881","Sycamore"
"51.4752081905","-2.61591623635","Tulip Tree"
"51.4612605649","-2.60022936227","Ash"
"51.4692915586","-2.62236124769",""
"51.460629895","-2.60022871448","Pear"
"51.4248892136","-2.58105201306","Maple"
"51.4663849739","-2.62216549449","Hawthorn"
"51.4119281964","-2.60124920021","Maple"
"51.4891196808","-2.59715715503","Birch"
"51.417721747","-2.60978899996","Field Maple"
"51.4733870034","-2.6043816888","Copper Beech"
"51.4755854727","-2.57144451108","Ash"
"51.4972705649","-2.60146405631","Rowan"
"51.4766332274","-2.57169173644","Gingko"
"51.4365912731","-2.54508071874","Hawthorn"
"51.5081439023","-2.60417278331","Hornbeam"
"51.4542799326","-2.60715441395","False Acacia"
"51.505867737","-2.64890648838","Willow"
"51.4821294648","-2.61083331713","Ash"
"51.5085909015","-2.60465563749","Ash"
"51.4926827903","-2.62411967718","Lime"
